district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600000394,Sharvari Serenity,SHARVARI REALTORS LLP,422403,"('19.688898000000000','73.561280000000000')",On-Going Project,10/31/2018,12/31/2018,09/30/2022,Residential,876.0,0.0,1226.4,04/14/2023,,,23.0,8.0,0.0,1.0,0.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0
Nashik,P51600000085,ANANDVANN,SARVPPRATHAM DEVELOPERS PVT. LTD.,422403,"('19.826015998931165','73.674176153659120')",On-Going Project,12/31/2019,12/31/2019,,Residential,8981.0,4156.0,13269.8,11/09/2021,,,280.0,209.0,0.0,13.0,0.0,30.0,8.0,0.0,121.0,0.0,0.0,0.0
Nashik,P51600008182,Laxmi Chayya,Laxmikripa Developers,422004,"('20.109037000000000','73.830143700000000')",On-Going Project,01/15/2021,10/15/2020,04/14/2022,Residential,1102.47,0.0,1543.22,08/26/2020,,,59.0,14.0,0.0,4.0,0.0,20.0,4.0,14.0,25.0,0.0,0.0,0.0
Nashik,P51600001180,OM APARTMENT,BHAVIN HEMANTKUMAR BHARATIA,422002,"('19.110133400000000','73.297175000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,1742.4,1523.0,2491.0,10/27/2021,,,73.0,43.0,0.0,1.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0
Nashik,P51600005059,Royal Empire,Pekhale Patil Construction,422003,"('20.039643000000000','73.850776000000000')",On-Going Project,06/30/2017,08/31/2018,,Residential,333.12,0.0,467.76,02/28/2020,,,12.0,4.0,0.0,1.0,0.0,5.0,1.0,2.0,10.0,0.0,0.0,0.0
Nashik,P51600001657,ROONGTA CHITRAKOOT APARTMENT,SHREE TIRUMALA BUILDCON,422009,"('19.954572538862290','73.779922899999970')",New Project,01/30/2021,,,Residential,6244.6,0.0,10197.0,08/27/2021,,,225.0,225.0,0.0,6.0,0.0,30.0,0.0,18.0,51.0,0.0,0.0,0.0
Nashik,P51600000075,AANUSHREE RESIDENCY,ABHAY CHANDMAL JAIN,422006,"('19.979954000000000','73.797244000000000')",On-Going Project,12/31/2017,03/31/2018,,Others,1978.15,0.0,3738.35,06/30/2020,,,53.0,25.0,0.0,1.0,0.0,12.0,1.0,54.0,6.0,0.0,0.0,0.0
Nashik,P51600008360,Royale,Ashoka Infraways Limited,422006,"('19.977295261805597','73.798382223890480')",On-Going Project,06/30/2018,12/31/2018,12/30/2021,Residential,1824.18,1006.0,3547.66,08/17/2021,,,48.0,31.0,0.0,1.0,0.0,13.0,1.0,28.0,20.0,0.0,0.0,0.0
Nashik,P51600000211,BUSINESS SQUARE,VASTUKRUPA CONSTRUCTION (INDIA) PVT LTD,422002,"('20.000416000000000','73.769277000000000')",On-Going Project,03/31/2019,03/31/2019,09/30/2020,Commercial,6663.0,0.0,11034.45,06/22/2023,6.0,,355.0,183.0,2.0,1.0,0.0,4.0,0.0,164.0,0.0,0.0,0.0,0.0
Nashik,P51600000119,HARI SPARSH II,KBC GLOBAL LIMITED,422502,"('21.049485800000000','79.043318000000000')",On-Going Project,03/31/2018,03/31/2018,,Residential,1069.0,0.0,526.56,10/15/2021,,,10.0,8.0,0.0,1.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0
