district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Solapur,P52600054855,Adinath Apartment,Archit Developers,413001,,New Project,12/31/2026,,,Residential,643.47,0.0,1132.05,02/05/2024,,,12.0,0.0,0.0,2.0,0.0,8.0,0.0,25.0,0.0,0.0,0.0,0.0
Solapur,P52600055310,Samruddhi Heights,Pragati Associates,413304,,New Project,04/30/2028,,,Residential,575.25,0.0,1840.76,02/13/2024,,,22.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Solapur,P52600055081,Manmeet Abhilasha,Solapur Multicons LLP,413002,,New Project,03/31/2027,,,Residential,636.0,0.0,1559.7,02/23/2024,,,12.0,0.0,0.0,0.0,0.0,6.0,1.0,50.0,1.0,0.0,0.0,0.0
Ahmednagar,P52200052722,PARTH VILLA,ASHOK BABANRAO KHOKARALE,414003,,New Project,12/31/2027,,,Residential,540.96,0.0,1729.38,08/17/2023,,,18.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmednagar,P52200054153,VALENCIA PHASE THREE,SHETE PATIL DEVELOPERS AOP,422601,,New Project,11/30/2026,,,Residential,1977.58,1455.38,4564.04,01/09/2024,,,60.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,4.0,0.0,0.0,0.0
Ahmednagar,P52200053899,SOLITAIRE BUSINESS HUB,A TO Z CONSTRUCTION,414001,,New Project,03/31/2026,,,Commercial,650.7,0.0,3043.83,12/01/2023,,,62.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmednagar,P52200053663,7 SOLITAIRE,Infinity Realties,414001,,New Project,12/31/2025,,,Residential,721.79,0.0,2594.69,11/10/2023,,,21.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Ahmednagar,P52200054180,ROYAL WOODS,KPGC Ventures Private Ltd.,414003,,New Project,12/31/2026,,,Residential,1570.0,210.0,5972.59,12/13/2023,,,48.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,52.0,0.0,0.0,0.0
Ahmednagar,P52200053862,ANUPAMA HEIGHTS,Neelkanth Developers,413709,,New Project,10/30/2026,,,Residential,888.43,0.0,1975.74,11/10/2023,,,24.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,46.0,0.0,0.0,0.0
Ahmednagar,P52200054363,Building at CTS No 2454,Nirvana Life Realty,422605,"('19.565384460315276','74.207695103768570')",New Project,03/31/2026,,,Others,804.87,0.0,1394.08,01/05/2024,,,28.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Aurangabad,P51500011537,SAINATHVILLA Phase II,Sainath Builders & Developers,431001,"('19.858827000000000','75.442968000000000')",On-Going Project,05/31/2018,05/31/2018,,Residential,3032.7,477.77,1761.94,02/02/2023,,,32.0,21.0,0.0,2.0,0.0,10.0,2.0,8.0,2.0,0.0,0.0,0.0
Aurangabad,P51500001870,AANAND SHILP APARTMENT,Shilp Constructions,431001,"('19.879709000000000','75.325572000000000')",On-Going Project,06/30/2018,12/31/2018,,Residential,397.5,397.5,699.68,04/09/2021,,,10.0,1.0,0.0,1.0,0.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0
Aurangabad,P51500002341,FLORENZA VILLAS,Mahesh Vithalrao Labhshetwar,431005,"('19.848946000000000','75.276947000000000')",On-Going Project,12/31/2019,12/31/2019,06/30/2024,Residential,9400.0,940.0,8145.0,05/26/2020,,,27.0,12.0,0.0,7.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0
Aurangabad,P51500000594,RAAJ SWAPNAPURTI,S RAAJ ASSOCIATES,431001,"('19.859908000000000','75.268353000000000')",On-Going Project,12/31/2017,12/31/2018,,Residential,8100.0,798.5,5537.0,07/18/2023,,,121.0,54.0,0.0,7.0,0.0,20.0,2.0,0.0,40.0,0.0,0.0,0.0
Aurangabad,P51500005443,The HUB,ZAMBAD INFRASTRUCTURE LIMITED,431154,"('21.073548800000000','78.961348600000000')",On-Going Project,06/30/2019,12/31/2019,,Residential,9100.0,872.57,9304.85,07/30/2021,,,308.0,0.0,1.0,4.0,0.0,22.0,0.0,1.0,77.0,0.0,0.0,0.0
Aurangabad,P51500006207,Ramchintan Park,Mewani Infrstrcture,431003,"('19.884007000000000','75.288688000000000')",On-Going Project,07/04/2019,09/10/2022,,Others,3700.0,370.0,4436.81,03/20/2024,,,106.0,30.0,0.0,4.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0
Aurangabad,P51500004987,OMICRON ASPIRE,OMICRON DEVELOPERS,431007,"('18.606662800000000','73.752467300000000')",On-Going Project,12/31/2015,06/30/2018,,Residential,12100.0,1054.0,8697.6,12/06/2019,,,171.0,71.0,0.0,12.0,0.0,36.0,12.0,0.0,171.0,0.0,0.0,0.0
Aurangabad,P51500001817,Ekdant Srushti Phase-1,Sanjeevkumar Harakchand Kankariya,431001,"('19.883247000000000','75.492301000000000')",On-Going Project,04/30/2018,12/31/2018,,Residential,910.0,0.0,1092.0,12/08/2020,,,36.0,20.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Aurangabad,P51500001970,Aurum,Sanjeevkumar Harakchand Kankariya,431001,"('18.586059000000000','73.736048000000000')",On-Going Project,04/30/2019,12/31/2019,,Others,889.35,0.0,0.0,06/09/2021,,,53.0,0.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
Aurangabad,P51500000376,Pride Phoenix Building - A,ABAD ESTATE AOP,431001,"('19.868784501308050','75.402703372007750')",On-Going Project,12/31/2018,12/31/2018,,Residential,949.78,304.19,3570.99,02/19/2022,,,42.0,38.0,0.0,1.0,0.0,8.0,1.0,11.0,31.0,0.0,0.0,0.0
Aurangabad,P51500010032,FORTUNE PARK,ARIHANT VENTURES,431002,"('19.845588000000000','75.340503000000000')",On-Going Project,04/10/2021,10/10/2021,04/09/2023,Others,3500.0,350.0,3809.85,01/29/2024,,,118.0,16.0,1.0,1.0,1.0,6.0,0.0,36.0,36.0,0.0,0.0,0.0
Aurangabad,P51500002358,SAI ASPIRE,VIKAS LAXMAN CHAUDHARY,431005,"('19.866757045665373','75.328732099693300')",On-Going Project,07/31/2019,07/31/2019,01/30/2021,Commercial,615.6,0.0,639.0,09/06/2021,,,14.0,9.0,0.0,1.0,0.0,8.0,1.0,7.0,7.0,0.0,0.0,0.0
Aurangabad,P51500005255,Adinath Suvastu,ADINATH DEVELOPERS,431007,"('21.049485800000000','79.043318000000000')",On-Going Project,12/31/2019,12/31/2019,,Others,1647.0,0.0,3677.0,01/20/2023,,,61.0,54.0,1.0,1.0,0.0,7.0,1.0,24.0,21.0,0.0,0.0,0.0
Aurangabad,P51500004795,SAI SANKUL PHASE-II,SHREE VENKATESH DEVELOPERS,431003,"('19.884216000000000','75.391297000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,580.48,0.0,893.78,11/07/2020,,,24.0,11.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
Aurangabad,P51500001293,Sai Bhadra Residency,Sai Builders,431005,"('19.879514000000000','75.348259000000000')",On-Going Project,06/23/2018,12/23/2018,,Residential,626.5,0.0,1026.6,06/20/2021,,,18.0,9.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0
Aurangabad,P51500000992,HARIKUNJ,DEEPAK RADHESHYAM JHUNJHUNWALA,431105,"('19.727808000000000','75.299350000000000')",On-Going Project,03/31/2024,03/30/2025,,Residential,7119.69,1240.38,7460.54,02/28/2024,,,161.0,0.0,0.0,5.0,0.0,20.0,8.0,137.0,8.0,0.0,0.0,0.0
Aurangabad,P51500000852,PRIDE PHOENIX BUILDING D,ABAD ESTATE AOP,431001,"('19.869011530313838','75.403593865400700')",On-Going Project,12/31/2020,12/30/2021,,Others,2793.49,394.88,3884.74,07/02/2022,,,103.0,49.0,0.0,1.0,0.0,8.0,1.0,53.0,38.0,0.0,0.0,0.0
