district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000000650,Riverside County,Devendra Yashwant Manchekar,402107,"('18.771253600000000','73.179212500000000')",On-Going Project,05/10/2023,05/10/2024,,Residential,28328.0,6070.0,18612.0,04/11/2018,,,273.0,14.0,0.0,7.0,0.0,35.0,0.0,84.0,0.0,0.0,0.0,0.0
Raigarh,P52000000003,Bliss Studio,BALSAM BUILDERS,410201,"('18.919512000000000','73.326090000000000')",On-Going Project,11/18/2021,12/21/2022,12/20/2023,Residential,8696.0,6188.0,10433.0,12/27/2023,,,300.0,61.0,0.0,1.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0
Raigarh,P52000000480,MORAJ MAA SHRISHTI,MORAJ INFRATECH PRIVATE LIMITED,410203,"('18.809546000000000','73.330541000000000')",On-Going Project,12/18/2018,12/18/2018,,Others,3523.5,353.0,4767.25,02/16/2021,,,42.0,13.0,0.0,2.0,0.0,7.0,1.0,10.0,10.0,0.0,0.0,0.0
Raigarh,P52000000007,Krishna Residency,S P Construction,410203,"('18.808738804684847','73.334943965656300')",On-Going Project,12/18/2020,12/18/2021,,Others,4310.0,431.0,6082.81,07/03/2023,,,183.0,172.0,0.0,3.0,0.0,24.0,3.0,0.0,3.0,0.0,0.0,0.0
Raigarh,P52000000208,RUCHA SOLITAIRE,CHINTAMANI PROJECTS,410101,"('18.982414900000000','73.328444500000000')",New Project,11/01/2020,,,Residential,337.0,0.0,403.13,02/06/2023,,,12.0,12.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000007338,SAI MORESHWAR,SPACE LAND DEVELOPERS,410101,"('18.915902900000000','73.343191000000000')",On-Going Project,12/31/2019,12/31/2019,12/31/2025,Residential,13200.0,1320.0,8578.56,01/21/2023,,1.0,259.0,217.0,0.0,16.0,0.0,80.0,16.0,0.0,16.0,0.0,0.0,0.0
Raigarh,P52000000270,ORION,DARSHAN KIRTIKUMAR BAFNA,402107,"('18.735793100000000','73.094692600000000')",On-Going Project,03/31/2020,09/30/2020,,Residential,4650.0,465.0,4623.0,06/21/2021,,,116.0,64.0,0.0,1.0,1.0,7.0,1.0,13.0,30.0,0.0,0.0,0.0
Raigarh,P52000000062,COMMANDERS HEERA SIDDHI HOMES,HEERA SIDDHI HOMES LLP,410207,"('18.877850700000000','73.165937800000000')",On-Going Project,06/30/2019,06/30/2019,12/29/2023,Residential,8810.0,881.0,10291.72,03/04/2024,,,272.0,184.0,0.0,7.0,0.0,32.0,7.0,51.0,25.0,0.0,0.0,0.0
Raigarh,P52000004099,Sai Home Infra,Pallavi Sharad Nagare,410206,"('18.975094100000000','73.052334000000000')",On-Going Project,09/22/2018,03/22/2019,,Others,1093.21,0.0,1637.87,03/18/2020,,,54.0,46.0,0.0,1.0,0.0,13.0,1.0,15.0,6.0,0.0,0.0,0.0
Raigarh,P52000000721,Wellwisher Town,Wellwisher Properties,410203,"('18.794916300000000','73.334042599999980')",On-Going Project,12/31/2024,12/30/2025,,Residential,27100.0,2664.27,44957.92,03/01/2024,,,918.0,640.0,0.0,12.0,0.0,111.0,11.0,351.0,423.0,0.0,0.0,0.0
